Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.9774700916985486,0.9850513163766176,0.9738612551009154,0.9794243247740003,0.9778765734964036
Logistic Regression,0.9007712394485942,0.9034849636304418,0.9178339031653248,0.9106029106029107,0.8988493840150947
SGD,0.8875933685552924,0.8698236982369824,0.9359214734752399,0.9016628592679169,0.8821499259268092
KNN,0.9304669945952511,0.9598328302762944,0.9118782397705967,0.9352412193880436,0.93256074150692
Gaussian NB,0.769235440578126,0.83897541511134,0.7188706297562589,0.7742931812782133,0.7749082878511024
